# ROM content for Y multiplexer
7 3
#   +------------ raise
#   |+----------- append
#   ||    +------ key-code
#   ||    |   
#   ||    |   +-- Y multiplexer control signal
#   ||    |   |
#   vv    v   v
0   0?00000 100
1   0?00001 100
2   0?00010 100
3   0?00011 100
4   0?00100 100
5   0?00101 100
6   0?00110 100
7   0?00111 100
8   0?01000 100
9   0?01001 100
0   1?00000 011
1   1?00001 011
2   1?00010 011
3   1?00011 011
4   1?00100 011
5   1?00101 011
6   1?00110 011
7   1?00111 011
8   1?01000 011
9   1?01001 011
ADD ??10000 101
SUB ??10001 101
MUL ??10010 101
CLR ??10100 000
STO ??10101 100
RCL ??10110 100
ENT ??10111 011
